,Brand name,Logo,IPR,Designation,Status,Status date,Number,Office,Nice classification,Owner
1,COCACOLA,,National Trademark Registration,Japan,Registered,,106633,JPO (Japan),,
2,COCACOLA,,National Trademark Registration,Kenya,Registered,,1065888,KIPI (Kenya),32,"THE COCA- COLA COMPANY, a Delaware Corporation (USA)"
3,CocaCola,,National Trademark Registration,Bhutan,Registered,,8844,DIP (Bhutan),"32, 41",The Coca-Cola Company (USA)
4,Coca·Cola,,Regional Trademark Registration,European Union,Registered,,5776984,EUIPO (European Union),"21, 32",The Coca-Cola Company (USA)
5,COCACOLA,,National Trademark Registration,Japan,Expired,,456447,JPO (Japan),15,ザ コカ コ-ラ カンパニ-
6,COCACOLA,,National Trademark Registration,Japan,Expired,,1545791,JPO (Japan),29,ザ コカ コ-ラ カンパニ-
7,CocaCola,,National Trademark Registration,Kenya,Registered,,1004674,KIPI (Kenya),44,"THE COCA-COLA COMPANY, a Company organised and existing under the laws of United States of America (USA)"
8,COCACOLA,,National Trademark Registration,Kenya,Expired,,1057349,KIPI (Kenya),32,"The Coca-Cola Company, a Delaware Corporation (USA)"
9,COCACOLA,,National Trademark Registration,Indonesia,Expired,,"434,344",DGIP (Indonesia),16,The Coca Cola Company (USA)
10,COCACOLA,,National Trademark ,Morocco,Unknown,,9057,OMPIC (Morocco),"16, 32, 6",THE COCA-COLA COMPANY (ETAT DE DELAWARE) (USA)
11,COCACOLA,,National Trademark Registration,Kenya,Registered,,1033832,KIPI (Kenya),32,The Coca-Cola Company (USA)
12,COCACOLA,,National Trademark Registration,Italy,Registered,,1639673,UIBM (Italy),32,THE COCA-COLA COMPANY (Italy)
13,Cocacola,,National Trademark Application,Korea (Republic of),Ended,,4.01996E+12,KIPO (Korea (Republic of)),,정흥연 (Korea (Republic of))
14,CocaCola,,National Trademark Registration,Korea (Republic of),Registered,,4.00729E+12,KIPO (Korea (Republic of)),32,더 코카콜라 컴파니 (USA)
15,COCACOLA,,National Trademark Registration,Japan,Registered,,410180,JPO (Japan),32,ゼ コカコ-ラ コムパニ-
16,COCACOLA,,National Trademark Registration,Korea (Republic of),Registered,,4.00437E+12,KIPO (Korea (Republic of)),,더 코카콜라 컴파니 (USA)
17,CocaCola,,National Trademark Registration,Philippines,Registered,,60586,IPOPHL (Philippines),25,THE COCA-COLA COMPANY (USA)
18,COCACOLA,,National Trademark Registration,Japan,Registered,,106633,JPO (Japan),29,
19,Cocacola,,National Trademark Registration,Kenya,Registered,,1091086,KIPI (Kenya),"25, 32",THE COCA-COLA COMPANY (USA)
